Section,Index,Filter,OO Filter,OO Parameters,OO Notes,TB Filter,TB Field,TB Table,TB Notes,Entry Group,Implication
Market Conditions — VIX,1,VIX level threshold,TRUE,Min and/or max VIX threshold,VIX regime filter,TRUE,VIX_Close / VIX_Open,market.daily (VIX),VIX_Close = prior day (lag); VIX_Open = same day,A: Volatility Level,"Near-redundant with ATR, RV20, Vol_Regime (r > 0.87). Pick one representative."
Market Conditions — VIX,2,VIX overnight gap,TRUE,Points or % change,Prior 4:15 PM close → current open,TRUE,VIX_Gap_Pct,market.daily (VIX),Open-known same day,G: VIX Event,"Low correlation with VIX level (r ~0.21). Captures transient overnight dislocations."
Market Conditions — VIX,3,VIX intraday movement,TRUE,Points or % from RTH open,Same-day VIX movement,TRUE,VIX intraday OHLC,market.intraday (VIX),Minute-level VIX bars,A: Volatility Level,"Intraday VIX tracks overall VIX level. Redundant with daily VIX close."
Market Conditions — VIX,4,VIX9D-to-VIX ratio,TRUE,Ratio threshold,Short-term vs longer-term vol ratio,TRUE,VIX9D_Open / VIX_Open,market.daily (VIX9D / VIX),Computed ratio; open = same day / close = prior day,F: Term Structure,"Captures short-term vol premium. Weakly correlated with VIX level; independent signal."
Market Conditions — VIX,5,VIX IV Rank,Not available,Not available,Not available,TRUE,VIX_IVR,market.daily (VIX),IV Rank; prior day lag,B: Relative Volatility,"r = 0.84 with VIX_IVP. Partially overlaps VIX level (r ~0.65) but adds ranking dimension."
Market Conditions — VIX,6,VIX IV Percentile,Not available,Not available,Not available,TRUE,VIX_IVP,market.daily (VIX),IV Percentile; prior day lag,B: Relative Volatility,"r = 0.84 with VIX_IVR. Near-redundant within group; pick one."
Market Conditions — VIX,7,VIX prior day range,Not available,Not available,Not available,TRUE,VIX_High / VIX_Low,market.daily (VIX),Prior day VIX range,A: Volatility Level,"VIX High/Low r > 0.99 with VIX_Close. Redundant with VIX level."
Market Conditions — VIX,8,VIX spike magnitude,Not available,Not available,Not available,TRUE,VIX_Spike_Pct,market._context_derived,VIX spike %; prior day lag,G: VIX Event,"r = 0.21 with VIX level. Captures regime-break events independent of level."
Market Conditions — VIX,9,Volatility regime,Not available,Not available,Not available,TRUE,Vol_Regime,market._context_derived,VIX-based regime bucket; prior day lag,A: Volatility Level,"r = 0.87 with VIX_Close. Discretized VIX level; near-redundant."
Market Conditions — VIX,10,VIX term structure state,Not available,Not available,Not available,TRUE,Term_Structure_State,market._context_derived,Contango / backwardation / flat; prior day lag,F: Term Structure,"r = -0.39 with VIX. Independent signal capturing forward vol expectations."
